Name,Address,State,PIN,Tel,Email
BAHUNLANG KHARUMNUID,"VILL. PURIANG VIA MAWRYNGKNENG,      EAST KHASI HILLS",Meghalaya,793021,"Tel :
															JJHJNKPKJO",bira88066@gmail.com
,"PLOTNO.66,HOUSENO.8-2-269/S/66/1,SAGARSOCIETY,ROADNO-2,BANJARAHILLS, HYDERABAD",Telangana,500034,"Tel :
															CEHIMNLP",mahesh@bahuvida.com
BAHUVIDA LIMITED,"PLOTNO.66,HOUSENO.8-2-269/S/66/1,SAGARSOCIETY,ROADNO-2,BANJARAHILLS, HYDERABAD",Telangana,500034,"Tel :
															CEHIMNLP",mahesh@bahuvida.com
,"NO.14,SRIKUMARANNAGAR,NEARIDEALMATRICULATIONSCHOOL,NARASIMHANAICKENPALAYAM COIMBATORE",Tamil Nadu,641031,"Tel :
															CKEFEHM",12venkat21@gmail.com
BAIRAVI ENTERPRISES,"NO.14,SRIKUMARANNAGAR,NEARIDEALMATRICULATIONSCHOOL,NARASIMHANAICKENPALAYAM COIMBATORE",Tamil Nadu,641031,"Tel :
															CKEFEHM",12venkat21@gmail.com
,"EAST BAZAR,                         KARIMGANJ",Assam,788710,"Tel :
															JFFIJOMLNO",baishaliexp@gmail.com
BAISHALI TRADERS.,"EAST BAZAR,                         KARIMGANJ",Assam,788710,"Tel :
															JFFIJOMLNO",baishaliexp@gmail.com
,"8-2-277/56,  UB COLONY, ROAD NO. 3, 
BANJARA HILLS,  Hyderabad",Telangana,500034,"Tel :
															JKIGLOHPJK",harigopal.bajaj@gmail.com
BAJAJ EXPORTER & IMPORTER,"8-2-277/56,  UB COLONY, ROAD NO. 3, 
BANJARA HILLS,  Hyderabad",Telangana,500034,"Tel :
															JKIGLOHPJK",harigopal.bajaj@gmail.com
,"D-1412, NEW SUBZI MANDI, AZADPUR DELHI",Delhi,110033,"Tel :
															CIILGJIL",vikasbajaj_2007@yahoo.com
BAJAJ SONS,"D-1412, NEW SUBZI MANDI, AZADPUR DELHI",Delhi,110033,"Tel :
															CIILGJIL",vikasbajaj_2007@yahoo.com
,BAZARCHOWKOLDJALNA JALNA,Maharashtra,431203,"Tel :
															CDDIKK",jmbajhaw@yahoo.com
BAJHAW READYMADE DEPARTMENT &  FANCY GIFT,BAZARCHOWKOLDJALNA JALNA,Maharashtra,431203,"Tel :
															CDDIKK",jmbajhaw@yahoo.com
,"OPP:LMLJIRAWALASHOWROOM,COLLEGERD.,MODASA, DIST SABARKANTHA",Gujarat,383315,"Tel :
															CFFIJM",export@bakewellbiscuits.com
"BAKEWELL BISCUITS PVT. LTD.,","OPP:LMLJIRAWALASHOWROOM,COLLEGERD.,MODASA, DIST SABARKANTHA",Gujarat,383315,"Tel :
															CFFIJM",export@bakewellbiscuits.com
,"A/503,SHIV PARVATI  CHINCHOLI BUNDER ROAD, MALAD WEST Contact No: 919930582817 Mumbai",Maharashtra,400064,"Tel :
															CJJKFHGM",bakshiexpo@gmail.com
BAKSHI EXPO,"A/503,SHIV PARVATI  CHINCHOLI BUNDER ROAD, MALAD WEST Contact No: 919930582817 Mumbai",Maharashtra,400064,"Tel :
															CJJKFHGM",bakshiexpo@gmail.com
,"NO.15/1,SINGARAGARDEN,7THLANE,OLDWASHERMANPET, CHENNAI",Tamil Nadu,600021,"Tel :
															CGLKFMNQ",balaexport@rediffmail.com
BALA EXPORTS,"NO.15/1,SINGARAGARDEN,7THLANE,OLDWASHERMANPET, CHENNAI",Tamil Nadu,600021,"Tel :
															CGLKFMNQ",balaexport@rediffmail.com
,"VILL-NETAJISUBHASPALLY,P.O.+P.S.GAZOLE, MALDA",West Bengal,732124,"Tel :
															CEHHJL",bala2000@yahoo.com
BALA MANDAL & COMPANY,"VILL-NETAJISUBHASPALLY,P.O.+P.S.GAZOLE, MALDA",West Bengal,732124,"Tel :
															CEHHJL",bala2000@yahoo.com
,"NAKSHTRAWADI, GANGASAGAR HOUSING SOCIETY  SNO 08, PLOT NO 60, NAKSHTRAWADI, Aurangabad, AURANGABAD",Maharashtra,431001,"Tel :
															JFCIFFKQRM",adityabawane28@gmail.com
BALAGHAT AGRO EXPORTS PRIVATE LIMITED,"NAKSHTRAWADI, GANGASAGAR HOUSING SOCIETY  SNO 08, PLOT NO 60, NAKSHTRAWADI, Aurangabad, AURANGABAD",Maharashtra,431001,"Tel :
															JFCIFFKQRM",adityabawane28@gmail.com
,"C-8, Slice 6, Prateek palms, ,  Scheme no. 78 , INDORE , 
 MADHYA PRADESH,  452010  Indore",Madhya Pradesh,452010,"Tel :
															IIJDJJLMNR",pahaldhoke@balahakexim.com
BALAHAK EXIM (OPC) PRIVATE LIMITED,"C-8, Slice 6, Prateek palms, ,  Scheme no. 78 , INDORE , 
 MADHYA PRADESH,  452010  Indore",Madhya Pradesh,452010,"Tel :
															IIJDJJLMNR",pahaldhoke@balahakexim.com
,"G-3/2M.I.D.C. AREA, JALGAON",Maharashtra,425003,"Tel :
															CGJFGGJIIK",export@balaiworld.com
BALAI NUTRIEX,"G-3/2M.I.D.C. AREA, JALGAON",Maharashtra,425003,"Tel :
															CGJFGGJIIK",export@balaiworld.com
,"H.NO.98,2/3,INDIRANAGAR,BORSAPADROAD,KANDIVALI(W), MUMBAI",Maharashtra,400067,"Tel :
															JJIMLIMILS",starchandru@balajigg.com
BALAJI  GROUP  GLOBAL EXPORT,"H.NO.98,2/3,INDIRANAGAR,BORSAPADROAD,KANDIVALI(W), MUMBAI",Maharashtra,400067,"Tel :
															JJIMLIMILS",starchandru@balajigg.com
,"K.N.88/278,DAULTABADROAD GURGAON",Haryana,122006,"Tel :
															EDJJGNK",balajiint7@gmail.com
BALAJI  INTERNATIONAL,"K.N.88/278,DAULTABADROAD GURGAON",Haryana,122006,"Tel :
															EDJJGNK",balajiint7@gmail.com
,"SURVEY NO.135/P,138/3PAIKI BEHIND R K PULSE MILL NEAR GUJRAT STATE WARE HOUSING BAVLA SANAND ROAD BAVLA-382220, AHMEDABAD GUJRAT BAVLA",Gujarat,382220,"Tel :
															AKKFIFPPRQR",balaji_agro@yahoo.com
BALAJI AGRO,"SURVEY NO.135/P,138/3PAIKI BEHIND R K PULSE MILL NEAR GUJRAT STATE WARE HOUSING BAVLA SANAND ROAD BAVLA-382220, AHMEDABAD GUJRAT BAVLA",Gujarat,382220,"Tel :
															AKKFIFPPRQR",balaji_agro@yahoo.com
,"206,AATISHANNEXY,NR.SAMARPANFLATS,GULBAITEKRA,AMBAWADI,AHMEDABAD AHMEDABAD",Gujarat,380006,"Tel :
															CHGJKLHI",Jimesh5599@gmail.com
BALAJI ENTERPRISE,"206,AATISHANNEXY,NR.SAMARPANFLATS,GULBAITEKRA,AMBAWADI,AHMEDABAD AHMEDABAD",Gujarat,380006,"Tel :
															CHGJKLHI",Jimesh5599@gmail.com
,"SHOPNO.28,STERLINGTOWER,NEARHOTELMATHURADWARKA, NASHIK",Maharashtra,422011,"Tel :
															CGLIIKP",ravishinde8759@rediffmail.com
BALAJI ENTERPRISES,"SHOPNO.28,STERLINGTOWER,NEARHOTELMATHURADWARKA, NASHIK",Maharashtra,422011,"Tel :
															CGLIIKP",ravishinde8759@rediffmail.com
,"2638/2,NAYABAZAR DELHI",Delhi,110006,"Tel :
															CELFGJPO",badrisultania@gmail.com
BALAJI ENTERPRISES,"2638/2,NAYABAZAR DELHI",Delhi,110006,"Tel :
															CELFGJPO",badrisultania@gmail.com
,"42, G T ROAD   KOLKATA",West Bengal,700007,"Tel :
															CDJDMNKP",ag.shekhar@gmail.com
BALAJI EXIM ENTERPRISES PRIVATE LIMITED,"42, G T ROAD   KOLKATA",West Bengal,700007,"Tel :
															CDJDMNKP",ag.shekhar@gmail.com
,"69H/10B-11/1,AMARAVATHINAGAR, KARUR",Tamil Nadu,639005,"Tel :
															JBGKHNGIIS",balajiexports1976@gmail.com
BALAJI EXPORTS,"69H/10B-11/1,AMARAVATHINAGAR, KARUR",Tamil Nadu,639005,"Tel :
															JBGKHNGIIS",balajiexports1976@gmail.com
,"SHOP NO. E-887/888, APMC VEGETABLE   MARKET, VASHI                       NAVI MUMBAI",Maharashtra,400705,"Tel :
															ECEKGJJQ",balajiexports09@gmail.com
BALAJI EXPORTS,"SHOP NO. E-887/888, APMC VEGETABLE   MARKET, VASHI                       NAVI MUMBAI",Maharashtra,400705,"Tel :
															ECEKGJJQ",balajiexports09@gmail.com
,"FAZILKAROAD,OPP.MILITARYCANTT ABOHAR",Punjab,152116,"Tel :
															JJJFILHKPJ",balajikinnow@gmail.com
BALAJI FRUITS,"FAZILKAROAD,OPP.MILITARYCANTT ABOHAR",Punjab,152116,"Tel :
															JJJFILHKPJ",balajikinnow@gmail.com
,"G-3,FIRSTFLOOR, LAWRENCE ROAD INDUSTRIAL AREA",Delhi,110035,"Tel :
															JEDDFHPNRK",balajigrains@yahoo.com
BALAJI GRAINS PRIVATE LIMITED,"G-3,FIRSTFLOOR, LAWRENCE ROAD INDUSTRIAL AREA",Delhi,110035,"Tel :
															JEDDFHPNRK",balajigrains@yahoo.com
,"32,CHOKHAWALACHAMBER,DANAPITHBARDANGALI, RAJKOT",Gujarat,360001,"Tel :
															CDFLJJJ",balaji.impextrade@gmail.com
BALAJI IMPEX,"32,CHOKHAWALACHAMBER,DANAPITHBARDANGALI, RAJKOT",Gujarat,360001,"Tel :
															CDFLJJJ",balaji.impextrade@gmail.com
,"702/A, SURAJ HEIGHTS                 WALBHAT ROAD, GOREGAON (E)          MUMBAI",Maharashtra,400063,"Tel :
															CJFHKHOI",balajifruti@gmail.com
BALAJI INC.,"702/A, SURAJ HEIGHTS                 WALBHAT ROAD, GOREGAON (E)          MUMBAI",Maharashtra,400063,"Tel :
															CJFHKHOI",balajifruti@gmail.com
,"PLOT NO .125, SY.13, F.NO. 304,  NIZAMPET X ROAD, USHODAYA RESIDENCY , BHASKAR MODEL SCHOOL, HYDERABAD",Telangana,500072,"Tel :
															JKIGIMIOKS",biexports9@gmail.com
BALAJI INFINITE EXPORTS PRIVATE LIMITED,"PLOT NO .125, SY.13, F.NO. 304,  NIZAMPET X ROAD, USHODAYA RESIDENCY , BHASKAR MODEL SCHOOL, HYDERABAD",Telangana,500072,"Tel :
															JKIGIMIOKS",biexports9@gmail.com
,"103,SUBHLAXMICOMPLEX,OPP.BHARUCHAHOSPITAL,NEWIPCLROAD,SUBHANPURA, VADODARA",Gujarat,390023,"Tel :
															JKJHEJHJQO",siddharthjadejait@gmail.com
BALAJI INTERNATIONAL,"103,SUBHLAXMICOMPLEX,OPP.BHARUCHAHOSPITAL,NEWIPCLROAD,SUBHANPURA, VADODARA",Gujarat,390023,"Tel :
															JKJHEJHJQO",siddharthjadejait@gmail.com
,"48/51,HARSIDDHIKRUPA,SITARAM,PARKSTREETNO6,KOTHRIYASOLVENT RAJKOT",Gujarat,360022,"Tel :
															JFEMFHPLIM",balajioverseasrajkot@gmail.com
BALAJI OVERSEAS,"48/51,HARSIDDHIKRUPA,SITARAM,PARKSTREETNO6,KOTHRIYASOLVENT RAJKOT",Gujarat,360022,"Tel :
															JFEMFHPLIM",balajioverseasrajkot@gmail.com
,"28,RABINDRASARANI,3rdFLOOR,ROOMNo.31, KOLKATA",West Bengal,700073,"Tel :
															CDFJEHHO",balajisai.kgn@gmail.com
BALAJI SAI IMPEX,"28,RABINDRASARANI,3rdFLOOR,ROOMNo.31, KOLKATA",West Bengal,700073,"Tel :
															CDFJEHHO",balajisai.kgn@gmail.com
,"478, NAI DHANI, SHANTI NAGAR, ,  OPPOSITE NBC, KHATIPURA ROAD, ,  JAIPUR ,  JAIPUR ,  RAJASTHAN,  302006 JAIPUR",Rajasthan,302006,"Tel :
															JEHEIGJIRJ",gouravsaini.807@gmail.com
BALAJI TRADERS,"478, NAI DHANI, SHANTI NAGAR, ,  OPPOSITE NBC, KHATIPURA ROAD, ,  JAIPUR ,  JAIPUR ,  RAJASTHAN,  302006 JAIPUR",Rajasthan,302006,"Tel :
															JEHEIGJIRJ",gouravsaini.807@gmail.com
,"AthervaBuilding,Omnagar,Adagaonnaka,Panchavati,Nashik Nashik",Maharashtra,422003,"Tel :
															JJEFMGIKJS",balajiexporters2018@gmail.com
Balajienterprises,"AthervaBuilding,Omnagar,Adagaonnaka,Panchavati,Nashik Nashik",Maharashtra,422003,"Tel :
															JJEFMGIKJS",balajiexporters2018@gmail.com
,"HOLDING NO 348, KAMARPARA,NATAGARH355 CHITTARANJAN ROAD, SODEPUR, KOLKATA",West Bengal,700113,"Tel :
															JIGLEKMJKK",biswajitkundu5@gmail.com
BALARAM & SONS EXPORT,"HOLDING NO 348, KAMARPARA,NATAGARH355 CHITTARANJAN ROAD, SODEPUR, KOLKATA",West Bengal,700113,"Tel :
															JIGLEKMJKK",biswajitkundu5@gmail.com
,"6TH MAIN, APMC YARD,  BATAWADI, TUMKUR",Karnataka,572103,"Tel :
															CDKDEKI",neroopnb@gmail.com
BALARAMESHWARA IMPEX,"6TH MAIN, APMC YARD,  BATAWADI, TUMKUR",Karnataka,572103,"Tel :
															CDKDEKI",neroopnb@gmail.com
,"PLOT NO.409,
H.NO.8-2-293, 3RD FLOOR, MAPS TOWERS,
PHASE-III, ROAD NO.81,  JUBILEEHILLS, HYDERABAD",Telangana,500096,"Tel :
															CEHIJIGH",logistics@balaxi.in
BALAXI PHARMACEUTICALS LIMITED,"PLOT NO.409,
H.NO.8-2-293, 3RD FLOOR, MAPS TOWERS,
PHASE-III, ROAD NO.81,  JUBILEEHILLS, HYDERABAD",Telangana,500096,"Tel :
															CEHIJIGH",logistics@balaxi.in
,"GATENO.1612,FLATNO.D-403,RUSTICPARADISEDEHUALANDIROAD,CHIKHALI PUNE",Maharashtra,412114,"Tel :
															JKIDGNGHIS",balirambansode@rediffmail.com
BALIRAM RAMCHANDRA BANSODE,"GATENO.1612,FLATNO.D-403,RUSTICPARADISEDEHUALANDIROAD,CHIKHALI PUNE",Maharashtra,412114,"Tel :
															JKIDGNGHIS",balirambansode@rediffmail.com
,"D-1400,NEWSUBZIMANDI,AZADPUR DELHI",Delhi,110033,"Tel :
															JKLMNFPLMJ",niranjand1400@gmail.com
BALJEET SINGH AND SONS,"D-1400,NEWSUBZIMANDI,AZADPUR DELHI",Delhi,110033,"Tel :
															JKLMNFPLMJ",niranjand1400@gmail.com
,"292, BELLASIS ROAD  2/3  POTIA BLDG., MUMBAI CENTRAL, MUMBAI",Maharashtra,400008,"Tel :
															JJEDIOGHIR",ahmedbalwa@gmail.com
BALWAS EXPORTS,"292, BELLASIS ROAD  2/3  POTIA BLDG., MUMBAI CENTRAL, MUMBAI",Maharashtra,400008,"Tel :
															JJEDIOGHIR",ahmedbalwa@gmail.com
,"Akarani No.2, Block No.B, First floor, Shop No.6  New Market Yard, Tharad Tharad",Gujarat,385565,"Tel :
															JFCLKKMHJM",contact@banasagri.com
Banas Agri International,"Akarani No.2, Block No.B, First floor, Shop No.6  New Market Yard, Tharad Tharad",Gujarat,385565,"Tel :
															JFCLKKMHJM",contact@banasagri.com
,"H.NO2625 ATPOST KARANJA GHADGE, TAL KARANJA, DISTWARDHA WARDHA",Maharashtra,442203,"Tel :
															HBFLIJLMQR",bandhan728@gmail.com
BANDHAN AGRITECH PRIVATE LIMITED,"H.NO2625 ATPOST KARANJA GHADGE, TAL KARANJA, DISTWARDHA WARDHA",Maharashtra,442203,"Tel :
															HBFLIJLMQR",bandhan728@gmail.com
,"361, A.P. NAGAR, SONARPUR BAZAR MORE, KOLKATA",West Bengal,700150,"Tel :
															IEFKEMMJNR",bandishexim@gmail.com
BANDISH EXIM PRIVATE LIMITED,"361, A.P. NAGAR, SONARPUR BAZAR MORE, KOLKATA",West Bengal,700150,"Tel :
															IEFKEMMJNR",bandishexim@gmail.com
,"69,SURYANAGARMIRACHHOBA/SRIPALLI BURDWAN",West Bengal,713103,"Tel :
															CHGKFHH",arghyabanerjee1991@yahoo.com
BANERJEE EXPORTS,"69,SURYANAGARMIRACHHOBA/SRIPALLI BURDWAN",West Bengal,713103,"Tel :
															CHGKFHH",arghyabanerjee1991@yahoo.com
,"6thFLOOR,16-A,BRABOURNEROAD, KOLKATA",West Bengal,700001,"Tel :
															HDFGENNLQQ",info@bangalorefortfarms.com
BANGALORE FORT FARMS LIMITED,"6thFLOOR,16-A,BRABOURNEROAD, KOLKATA",West Bengal,700001,"Tel :
															HDFGENNLQQ",info@bangalorefortfarms.com
,"DIPTIBAG,P.O.SRIPALLY, BURDWAN",West Bengal,713103,"Tel :
															CGGHKML",bangsibadansam@yahoo.in
BANGSI BADAN SAM,"DIPTIBAG,P.O.SRIPALLY, BURDWAN",West Bengal,713103,"Tel :
															CGGHKML",bangsibadansam@yahoo.in
,"BANIARAH,BEGRI, DOMJUR",West Bengal,711411,"Tel :
															IKKEKFNIOJ",rakeshsardar7@gmail.com
BANI EXIM,"BANIARAH,BEGRI, DOMJUR",West Bengal,711411,"Tel :
															IKKEKFNIOJ",rakeshsardar7@gmail.com
,"VILL.LALPURBOSEPARAMORE,P.O.&P.S.CHAKDAHA, CHAKDAHA",West Bengal,741222,"Tel :
															IEEKGOOLRK",banik19manoj@gmail.com
BANIK INTERNATIONAL,"VILL.LALPURBOSEPARAMORE,P.O.&P.S.CHAKDAHA, CHAKDAHA",West Bengal,741222,"Tel :
															IEEKGOOLRK",banik19manoj@gmail.com
,"F1304STUTIICONNRMATHURANAGARI,PALANPOR SURAT",Gujarat,395009,"Tel :
															IFIDJHGNOJ",Umeshkb28@yahoo.in
BANISH EXPORT IMPORT,"F1304STUTIICONNRMATHURANAGARI,PALANPOR SURAT",Gujarat,395009,"Tel :
															IFIDJHGNOJ",Umeshkb28@yahoo.in
,"11/2, KAILASH CHANDRA SINGHA LANE,  P.O. BALLY,  HOWRAH",West Bengal,711201,"Tel :
															CHHHGJKM",seedsbankim@gmail.com
BANKIM PROSAD GHOSH SEEDS PRIVATE LIMITED,"11/2, KAILASH CHANDRA SINGHA LANE,  P.O. BALLY,  HOWRAH",West Bengal,711201,"Tel :
															CHHHGJKM",seedsbankim@gmail.com
,"B-23, KATJUNAGAR, JADAVPUR, KOLKATA",West Bengal,700032,"Tel :
															JJFJNHMPQP",sumankumardas20@gmail.com
BANMALA COMMERCIAL PVT. LTD.,"B-23, KATJUNAGAR, JADAVPUR, KOLKATA",West Bengal,700032,"Tel :
															JJFJNHMPQP",sumankumardas20@gmail.com
,"3/343, WIRELESS STREET, INDIAN BANK COLONY, NARAYANAPURAM, City : MADURAI , Tamil Nadu ,Pin : 625014.  MADURAI",Tamil Nadu,625014,"Tel :
															EDEDHMH",bannariammanexports@gmail.com
BANNARI AMMAN EXPORTS AND IMPORTS,"3/343, WIRELESS STREET, INDIAN BANK COLONY, NARAYANAPURAM, City : MADURAI , Tamil Nadu ,Pin : 625014.  MADURAI",Tamil Nadu,625014,"Tel :
															EDEDHMH",bannariammanexports@gmail.com
,"C-635SIDDHIVINAYAKTOWERS,,NEARDAVSCHOOL,OFF.SGHIGHWAY AHMEDABAD",Gujarat,380051,"Tel :
															JBLMEGJIKJ",jaimic@bansarienterprise.com
BANSARI ENTERPRISE,"C-635SIDDHIVINAYAKTOWERS,,NEARDAVSCHOOL,OFF.SGHIGHWAY AHMEDABAD",Gujarat,380051,"Tel :
															JBLMEGJIKJ",jaimic@bansarienterprise.com
,"SHOPNO.60,SABJIPATTI,MARKETINGYARD,FORBESGANJ, ARARIA",Bihar,854318,"Tel :
															CDEHJF",bantibhagat00977@gmail.com
BANTI KUMAR BHAGAT,"SHOPNO.60,SABJIPATTI,MARKETINGYARD,FORBESGANJ, ARARIA",Bihar,854318,"Tel :
															CDEHJF",bantibhagat00977@gmail.com
,"RAMPUR MARG,,BULANDSHAHAR ROAD                                           Hapur",Uttar Pradesh,245101,"Tel :
															JIIDNHPJJN",mohdz5045@gmail.com
BANU HASHIM INTERNATIONAL,"RAMPUR MARG,,BULANDSHAHAR ROAD                                           Hapur",Uttar Pradesh,245101,"Tel :
															JIIDNHPJJN",mohdz5045@gmail.com
,"AT-DHAVELI,POST-TALANITQ-RENAPUR LATUR",Maharashtra,411522,"Tel :
															CDHMIMJ",bappaagroexport@yahoo.co.in
BAPPA AGRO EXPORT,"AT-DHAVELI,POST-TALANITQ-RENAPUR LATUR",Maharashtra,411522,"Tel :
															CDHMIMJ",bappaagroexport@yahoo.co.in
,"KHASRANO-118/14,1stFLOOR,GALINO.03,BLOCK-B,PARWATIYAAANCHAL,SANTNAGAR,BURARI, DELHI",Delhi,110084,"Tel :
															CDJIILHJ",chauhandk123@rediffmail.com
BAPPA INDUSTRIAL IMPEX,"KHASRANO-118/14,1stFLOOR,GALINO.03,BLOCK-B,PARWATIYAAANCHAL,SANTNAGAR,BURARI, DELHI",Delhi,110084,"Tel :
															CDJIILHJ",chauhandk123@rediffmail.com
,"AGRICULTUREPROCESSMARKETSAMITI,CHALISGAON, JALGAON",Maharashtra,424101,"Tel :
															JFEFGMMNPM",nileshchaudhari08@gmail.com
BAPURAO GIRIDHAR CHODHARI,"AGRICULTUREPROCESSMARKETSAMITI,CHALISGAON, JALGAON",Maharashtra,424101,"Tel :
															JFEFGMMNPM",nileshchaudhari08@gmail.com
,"GATNO.807,818,819,VILLAGEKALAVIKATTETAL.GADHINGLAJ, KOLHAPUR",Maharashtra,416506,"Tel :
															CFFKNLK",shakirbarafwala1962@gmail.com
BARAFWALA AGRO PROCESSORS,"GATNO.807,818,819,VILLAGEKALAVIKATTETAL.GADHINGLAJ, KOLHAPUR",Maharashtra,416506,"Tel :
															CFFKNLK",shakirbarafwala1962@gmail.com
,"LILAC 1406, BUILDING NO.10, NAHAR AMRIT SHAKTI, CHANDEVALI FARM, ANDHERI EAST, MUMBAI",Maharashtra,400072,"Tel :
															CIKMJNNQ",azzi.shaikh@gmail.com
BARAKAH EXIM,"LILAC 1406, BUILDING NO.10, NAHAR AMRIT SHAKTI, CHANDEVALI FARM, ANDHERI EAST, MUMBAI",Maharashtra,400072,"Tel :
															CIKMJNNQ",azzi.shaikh@gmail.com
,"NO.19/25,SHOPNO-4,RAILWAYBORDER,1STSTREETCAUVERYNAGAR,SAIDAPET. CHENNAI",Tamil Nadu,600015,"Tel :
															JKGDELJKJP",barakah.traders@outlook.com
BARAKAH TRADERS,"NO.19/25,SHOPNO-4,RAILWAYBORDER,1STSTREETCAUVERYNAGAR,SAIDAPET. CHENNAI",Tamil Nadu,600015,"Tel :
															JKGDELJKJP",barakah.traders@outlook.com
,AT POST. SHETPHALGADEINDAPUR Contact No :9921244099 PUNE,Maharashtra,413105,"Tel :
															GIGLGOLM",exports@baramatiagro.com
BARAMATI AGRO LIMITED,AT POST. SHETPHALGADEINDAPUR Contact No :9921244099 PUNE,Maharashtra,413105,"Tel :
															GIGLGOLM",exports@baramatiagro.com
,"PRODUCERS) SANGH LTD. AT & POST:     PIMPALI, TAL. BARAMATI              PUNE",Maharashtra,413102,"Tel :
															CBLJHN",btpsbaramati@gmail.com
BARAMATI TALUKA CO.OP.PHALOTPADAK (FRUIT,"PRODUCERS) SANGH LTD. AT & POST:     PIMPALI, TAL. BARAMATI              PUNE",Maharashtra,413102,"Tel :
															CBLJHN",btpsbaramati@gmail.com
,"1-5CENTREPOINT,INDIRAGANDHIMARG, JAMNAGAR",Gujarat,361008,"Tel :
															CGHJJNO",bardanwala@sacharnet.in
BARDANWALA PLASTICS PVT. LTD.,"1-5CENTREPOINT,INDIRAGANDHIMARG, JAMNAGAR",Gujarat,361008,"Tel :
															CGHJJNO",bardanwala@sacharnet.in
,"10/1,PRINCEPSTREET,1STFLOOR KOLKATA",West Bengal,700072,"Tel :
															CDFKNHMM",barejapumps_kol@vsnl.net
BAREJA PUMPS PRIVATE LIMITED,"10/1,PRINCEPSTREET,1STFLOOR KOLKATA",West Bengal,700072,"Tel :
															CDFKNHMM",barejapumps_kol@vsnl.net
,"FLATNO.4,4THFLOOR,ADITIJEEVANABANERROAD,BANER, PUNE",Maharashtra,411045,"Tel :
															CIEMELJH",amitdbarge@rediffmail.com
BARGE AMIT DATTAJIRAO,"FLATNO.4,4THFLOOR,ADITIJEEVANABANERROAD,BANER, PUNE",Maharashtra,411045,"Tel :
															CIEMELJH",amitdbarge@rediffmail.com
,"SUNITA,PLOTNO.37,NEXTTOSHIV-KAVACHBUNGLOW,JIJAMATANAGAR,NASIKROAD NASIK",Maharashtra,422101,"Tel :
															CFIDIJG",psbarje@gmail.com
BARJE AGROTECH EXPORTS,"SUNITA,PLOTNO.37,NEXTTOSHIV-KAVACHBUNGLOW,JIJAMATANAGAR,NASIKROAD NASIK",Maharashtra,422101,"Tel :
															CFIDIJG",psbarje@gmail.com
,"110/5, NATALWALA BUILDING, S.V.S. ROAD  MAHIM WEST MUMBAI",Maharashtra,400050,"Tel :
															CHGFKJLH",barkat@barkatexport.com
BARKAT EXPORTS PRIVATE LIMITED,"110/5, NATALWALA BUILDING, S.V.S. ROAD  MAHIM WEST MUMBAI",Maharashtra,400050,"Tel :
															CHGFKJLH",barkat@barkatexport.com
,"896-C, Plot No. 38, QUAIDEMILLATH STREET, NESAVALAR NAGAR, JALLADIANPET CHENNAI",Tamil Nadu,600100,"Tel :
															GJKLKKL",aza12deen@gmail.com
BARKATH EXPORTS,"896-C, Plot No. 38, QUAIDEMILLATH STREET, NESAVALAR NAGAR, JALLADIANPET CHENNAI",Tamil Nadu,600100,"Tel :
															GJKLKKL",aza12deen@gmail.com
,"LOKHRACHARIALI,BAMUNPARA,BETKUCHI,BANKCOLONY2NDBYELANE GUWAHATI",Assam,781034,"Tel :
															JFFIGNMPMJ",dibya.jbarman@gmail.com
BARMAN INTERNATIONAL,"LOKHRACHARIALI,BAMUNPARA,BETKUCHI,BANKCOLONY2NDBYELANE GUWAHATI",Assam,781034,"Tel :
															JFFIGNMPMJ",dibya.jbarman@gmail.com
,"SF6SHIVALAYACOMPLEXII,VASNAROAD VADODARA",Gujarat,390007,"Tel :
															JCLLNNGLQJQO",prakash.barnachemicals@gmail.com
BARNA CHEMICALS,"SF6SHIVALAYACOMPLEXII,VASNAROAD VADODARA",Gujarat,390007,"Tel :
															JCLLNNGLQJQO",prakash.barnachemicals@gmail.com
,"A-1/3,SEALORDCUFFEPARADE MUMBAI",Maharashtra,400005,"Tel :
															CDKFJONL",manoj.bobade@basantagro.com
BASANT AGRO TECH (INDIA) LTD.,"A-1/3,SEALORDCUFFEPARADE MUMBAI",Maharashtra,400005,"Tel :
															CDKFJONL",manoj.bobade@basantagro.com
,"M/S.SARAFOVERSEAS,AMBASSADOR,61A,PARKSTREET,5THFLOOR,SUITENO.55, KOLKATA",West Bengal,700016,"Tel :
															CDEKFLKQ",basant@sarafoverseas.com
BASANT KUMAR SARAF,"M/S.SARAFOVERSEAS,AMBASSADOR,61A,PARKSTREET,5THFLOOR,SUITENO.55, KOLKATA",West Bengal,700016,"Tel :
															CDEKFLKQ",basant@sarafoverseas.com
,"201,STANDARDHOUSE,83MAHARSHIKARVEROAD,MARINELINES, MUMBAI",Maharashtra,400002,"Tel :
															GCGDNOGH",accounts@basarworld.com
BASAR GLOBAL PVT LTD,"201,STANDARDHOUSE,83MAHARSHIKARVEROAD,MARINELINES, MUMBAI",Maharashtra,400002,"Tel :
															GCGDNOGH",accounts@basarworld.com
,"39/215(1),CRESCENT,NEWBAZAR,CIVILSTATIONWARD ALLEPPEY",Kerala,688001,"Tel :
															CDHEKJG",alp_basheer@hotmail.com
BASHEER & SHAHID,"39/215(1),CRESCENT,NEWBAZAR,CIVILSTATIONWARD ALLEPPEY",Kerala,688001,"Tel :
															CDHEKJG",alp_basheer@hotmail.com
